# ID   log(Xflux)   log(Xlum)   Xclass
       41779      -99.000000      -99.000000   -
       41781      -99.000000      -99.000000   -
       41790      -99.000000      -99.000000   -
       41791      -99.000000      -99.000000   -
       41796      -14.348722       43.517196   AGN
       41806      -99.000000      -99.000000   -
       41851      -99.000000      -99.000000   -
       41889      -99.000000      -99.000000   -
       41902      -99.000000      -99.000000   -
       41913      -14.747147       42.521138   AGN
       41930      -99.000000      -99.000000   -
       41950      -99.000000      -99.000000   -
       41957      -99.000000      -99.000000   -
       41962      -99.000000      -99.000000   -
       41964      -99.000000      -99.000000   -
       41975      -99.000000      -99.000000   -
       42000      -99.000000      -99.000000   -
       42013      -99.000000      -99.000000   -
       42037      -15.399027       41.564666   Galaxy
       42043      -99.000000      -99.000000   -
       42064      -99.000000      -99.000000   -
       42070      -99.000000      -99.000000   -
       42095      -99.000000      -99.000000   -
       42106      -99.000000      -99.000000   -
       42107      -99.000000      -99.000000   -
       42108      -99.000000      -99.000000   -
       42109      -99.000000      -99.000000   -
       42123      -99.000000      -99.000000   -
       42127      -99.000000      -99.000000   -
       42139      -99.000000      -99.000000   -
       42140      -99.000000      -99.000000   -
       42144      -99.000000      -99.000000   -
       42145      -99.000000      -99.000000   -
       42147      -99.000000      -99.000000   -
       42149      -99.000000      -99.000000   -
       42153      -99.000000      -99.000000   -
       42156      -99.000000      -99.000000   -
       42167      -99.000000      -99.000000   -
       42172      -99.000000      -99.000000   -
       42173      -99.000000      -99.000000   -
       42201      -15.537602       41.941014   Galaxy
       42221      -99.000000      -99.000000   -
       42253      -99.000000      -99.000000   -
       42258      -99.000000      -99.000000   -
       42266      -99.000000      -99.000000   -
       42270      -99.000000      -99.000000   -
       42286      -99.000000      -99.000000   -
       42290      -99.000000      -99.000000   -
       42294      -99.000000      -99.000000   -
       42362      -99.000000      -99.000000   -
       42386      -99.000000      -99.000000   -
       42390      -99.000000      -99.000000   -
       42402      -15.882729       42.468347   AGN
       42411      -99.000000      -99.000000   -
       42454      -99.000000      -99.000000   -
       42463      -99.000000      -99.000000   -
       42464      -99.000000      -99.000000   -
       42497      -99.000000      -99.000000   -
       42502      -99.000000      -99.000000   -
       42519      -99.000000      -99.000000   -
       42556      -14.906578       43.885926   AGN
       42560      -99.000000      -99.000000   -
       42568      -99.000000      -99.000000   -
       42580      -99.000000      -99.000000   -
       42614      -99.000000      -99.000000   -
       42617      -99.000000      -99.000000   -
       42625      -99.000000      -99.000000   -
       42632      -99.000000      -99.000000   -
       42646      -99.000000      -99.000000   -
       42681      -99.000000      -99.000000   -
       42684      -99.000000      -99.000000   -
       42685      -99.000000      -99.000000   -
       42690      -99.000000      -99.000000   -
       42701      -99.000000      -99.000000   -
       42705      -99.000000      -99.000000   -
       42719      -99.000000      -99.000000   -
       42729      -99.000000      -99.000000   -
       42756      -99.000000      -99.000000   -
       42783      -99.000000      -99.000000   -
       42789      -99.000000      -99.000000   -
       42827      -99.000000      -99.000000   -
       42831      -99.000000      -99.000000   -
       42832      -15.521434       41.985426   AGN
       42833      -99.000000      -99.000000   -
       42874      -99.000000      -99.000000   -
       42884      -99.000000      -99.000000   -
       42896      -99.000000      -99.000000   -
       42898      -99.000000      -99.000000   -
       42921      -99.000000      -99.000000   -
       42957      -99.000000      -99.000000   -
       42985      -15.120904       42.643453   AGN
       43002      -99.000000      -99.000000   -
       43015      -99.000000      -99.000000   -
       43020      -99.000000      -99.000000   -
       43023      -99.000000      -99.000000   -
       43114      -14.804100       43.546543   AGN
       43123      -99.000000      -99.000000   -
       43133      -99.000000      -99.000000   -
       43137      -99.000000      -99.000000   -
       43171      -99.000000      -99.000000   -
       43200      -99.000000      -99.000000   -
       43217      -99.000000      -99.000000   -
       43256      -15.338187       43.181844   AGN
       43258      -99.000000      -99.000000   -
       43260      -99.000000      -99.000000   -
       43276      -99.000000      -99.000000   -
       43292      -99.000000      -99.000000   -
       43298      -99.000000      -99.000000   -
       43299      -99.000000      -99.000000   -
       43300      -99.000000      -99.000000   -
       43319      -99.000000      -99.000000   -
       43332      -99.000000      -99.000000   -
       43336      -99.000000      -99.000000   -
       43353      -99.000000      -99.000000   -
       43374      -99.000000      -99.000000   -
       43390      -99.000000      -99.000000   -
       43429      -99.000000      -99.000000   -
       43436      -99.000000      -99.000000   -
       43438      -99.000000      -99.000000   -
       43493      -99.000000      -99.000000   -
       43519      -99.000000      -99.000000   -
       43552      -99.000000      -99.000000   -
       43553      -99.000000      -99.000000   -
       43583      -99.000000      -99.000000   -
       43599      -99.000000      -99.000000   -
       43633      -99.000000      -99.000000   -
       43642      -99.000000      -99.000000   -
       43645      -99.000000      -99.000000   -
       43671      -99.000000      -99.000000   -
       43674      -99.000000      -99.000000   -
       43683      -15.359519       43.178977   AGN
       43699      -99.000000      -99.000000   -
       43709      -99.000000      -99.000000   -
       43764      -99.000000      -99.000000   -
       43803      -99.000000      -99.000000   -
       43811      -99.000000      -99.000000   -
       43823      -99.000000      -99.000000   -
       43882      -99.000000      -99.000000   -
       43891      -99.000000      -99.000000   -
       43928      -99.000000      -99.000000   -
       43952      -99.000000      -99.000000   -
       43954      -99.000000      -99.000000   -
       43970      -99.000000      -99.000000   -
       44006      -99.000000      -99.000000   -
       44102      -99.000000      -99.000000   -
       44108      -99.000000      -99.000000   -
       44112      -99.000000      -99.000000   -
       44194      -99.000000      -99.000000   -
       44208      -99.000000      -99.000000   -
       44224      -99.000000      -99.000000   -
       44239      -99.000000      -99.000000   -
       44280      -99.000000      -99.000000   -
       44367      -99.000000      -99.000000   -
       44446      -99.000000      -99.000000   -
       44465      -99.000000      -99.000000   -
       44471      -99.000000      -99.000000   -
       44539      -99.000000      -99.000000   -
       44594      -99.000000      -99.000000   -
       44604      -99.000000      -99.000000   -
       44617      -99.000000      -99.000000   -
       44618      -99.000000      -99.000000   -
       44676      -99.000000      -99.000000   -
       44683      -99.000000      -99.000000   -
       44710      -99.000000      -99.000000   -
       44725      -15.151811       43.785330   AGN
       44745      -99.000000      -99.000000   -
       44820      -99.000000      -99.000000   -
       44831      -99.000000      -99.000000   -
       44834      -99.000000      -99.000000   -
       44837      -99.000000      -99.000000   -
       44868      -99.000000      -99.000000   -
       44869      -99.000000      -99.000000   -
       44890      -99.000000      -99.000000   -
       44946      -99.000000      -99.000000   -
       44954      -99.000000      -99.000000   -
       44979      -99.000000      -99.000000   -
       45004      -99.000000      -99.000000   -
       45016      -99.000000      -99.000000   -
       45128      -99.000000      -99.000000   -
       45143      -99.000000      -99.000000   -
       45156      -99.000000      -99.000000   -
       45174      -99.000000      -99.000000   -
       45188      -15.204120       43.485721   AGN
       45228      -99.000000      -99.000000   -
       45255      -99.000000      -99.000000   -
       45258      -99.000000      -99.000000   -
       45267      -99.000000      -99.000000   -
       45327      -99.000000      -99.000000   -
       45355      -99.000000      -99.000000   -
       45394      -99.000000      -99.000000   -
       45397      -99.000000      -99.000000   -
       45456      -99.000000      -99.000000   -
       45509      -99.000000      -99.000000   -
       45522      -99.000000      -99.000000   -
       45539      -99.000000      -99.000000   -
       45544      -99.000000      -99.000000   -
       45575      -99.000000      -99.000000   -
       45580      -99.000000      -99.000000   -
       45600      -99.000000      -99.000000   -
       45603      -99.000000      -99.000000   -
       45608      -99.000000      -99.000000   -
       45635      -99.000000      -99.000000   -
       45646      -99.000000      -99.000000   -
       45654      -99.000000      -99.000000   -
       45660      -99.000000      -99.000000   -
       45670      -99.000000      -99.000000   -
       45697      -15.368556       43.012837   AGN
       45699      -99.000000      -99.000000   -
       45819      -99.000000      -99.000000   -
       45829      -99.000000      -99.000000   -
       45830      -99.000000      -99.000000   -
       45840      -99.000000      -99.000000   -
       45857      -99.000000      -99.000000   -
       45872      -99.000000      -99.000000   -
       45887      -99.000000      -99.000000   -
       45938      -99.000000      -99.000000   -
       45952      -99.000000      -99.000000   -
       45993      -99.000000      -99.000000   -
       45995      -99.000000      -99.000000   -
       46000      -99.000000      -99.000000   -
       46030      -99.000000      -99.000000   -
       46037      -99.000000      -99.000000   -
