FIELD,ID,RA_y,DEC_y,z_50_y,HeII-4687_FLUX,HeII-4687_FLUX_ERR,NeV-3426_FLUX,NeV-3426_FLUX_ERR,Ha_FLUX_y,Ha_FLUX_ERR_y,Hb_FLUX_y,Hb_FLUX_ERR_y,NeIII-3867_FLUX_y,NeIII-3867_FLUX_ERR_y,OII_FLUX_y,OII_FLUX_ERR_y,OIII_FLUX_y,OIII_FLUX_ERR_y,DL,NeV_L_ERR,NeV_L,HeII_L_ERR,HeII_L,id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,restUjohnson,restVjohnson
GN3,33438,189.18287826981842,62.31273403231871,1.6832704988751241,2.05314939214091,1.03901206462678,0.129538227663445,1.07205477896448,-99.0,-99.0,3.0956779162080004,0.951785557687294,1.9881602110791798,1.02684506333443,10.5263916548049,0.9226988404131872,22.170570224177297,1.0138670201405602,12836.173157751435,2.1133943418563504e+41,2.5536508280151523e+40,2.0482556130422098e+41,4.047474432722222e+41,33438,189.1828641,62.31272664,14.232000000000001,10.04,0.3913,0.0202272,0,0.343584,0.00349823,0.0,0.48402,0.61351,-20.295579999999998,-20.752031,1.67915,-1.0,2,1.6532,9.3,14.232000000000001,0.522367,-21.4812,-1.6067,,
GN5,33438,189.18287826981842,62.31273403231871,1.6832704988751241,2.05314939214091,1.03901206462678,0.129538227663445,1.07205477896448,-99.0,-99.0,3.0956779162080004,0.951785557687294,1.9881602110791798,1.02684506333443,10.5263916548049,0.9226988404131872,22.170570224177297,1.0138670201405602,12836.173157751435,2.1133943418563504e+41,2.5536508280151523e+40,2.0482556130422098e+41,4.047474432722222e+41,33438,189.1828641,62.31272664,14.232000000000001,10.04,0.3913,0.0202272,0,0.343584,0.00349823,0.0,0.48402,0.61351,-20.295579999999998,-20.752031,1.67915,-1.0,2,1.6532,9.3,14.232000000000001,0.522367,-21.4812,-1.6067,,
GN3,34470,189.26023761,62.32050135,1.987366427448259,0.703438773323836,0.684148116806417,0.215307570698658,0.4726093714211129,-99.0,-99.0,1.4391257611336798,0.6363887018500051,1.44810697862376,1.08254656080224,5.22123086148179,0.41541863174682303,8.11006321406587,0.7666655269446608,15752.04474590116,1.4030354096589812e+41,6.391835708833271e+40,2.0310304690839878e+41,2.0882986398105284e+41,34470,189.26023735,62.32049803,20.546999999999997,26.23,1.5331,1.00177,0,0.23050199999999998,0.060916399999999996,0.0,0.8466600000000001,1.10619,-21.269826000000002,-21.774548,1.98918,-1.0,2,1.9614,9.83,20.546999999999997,2.23853,-24.8012,-1.5807,,
GN3,36512,189.21561906,62.33912736700001,1.360468720530498,0.8390691865255091,0.15846714983531798,3.0153621929162204,0.854029399831102,-99.0,-99.0,3.8669123674724,0.16785609027911802,0.801751095846753,0.39887096138480893,1.81696716300237,0.49479708879978096,6.07081856723683,0.203133766954888,9859.783216151573,9.933447101004834e+40,3.5072493803640565e+41,1.843174310448149e+40,9.75944081091664e+40,36512,189.21561767,62.33912339,10.8519,10.18,0.4129,0.32237,0,0.378396,0.058886400000000005,0.4,0.33432,0.46216999999999997,-20.165766,-20.908913000000002,1.6945,-1.0,3,1.6945,9.81,10.8519,0.746215,-21.1136,-1.3824,,
GN3,31128,189.21386551404782,62.297479248763764,1.8647337956901933,1.4202395521787199,0.7736327932895501,3.91994848950599,1.5355954750039598,-99.0,-99.0,2.8697501463957407,0.770783975755704,2.14403886248609,1.25517080898396,7.445150513547371,1.28603278552431,2.73783631154095,0.7776719275601959,14564.655132724014,3.897352289125651e+41,9.948857278829512e+41,1.9634855578497485e+41,3.604578132646719e+41,31128,189.21386281,62.29747679,322.599,322.599,1.1842,0.8711459999999999,0,0.332886,0.10827200000000001,1.3,0.25131,0.503,-20.751685000000002,-21.727018,1.53324,-1.0,2,1.6702,10.23,200.364,0.6806479999999999,318.969,-0.8853,,
GN5,31128,189.21386551404782,62.297479248763764,1.8647337956901933,1.4202395521787199,0.7736327932895501,3.91994848950599,1.5355954750039598,-99.0,-99.0,2.8697501463957407,0.770783975755704,2.14403886248609,1.25517080898396,7.445150513547371,1.28603278552431,2.73783631154095,0.7776719275601959,14564.655132724014,3.897352289125651e+41,9.948857278829512e+41,1.9634855578497485e+41,3.604578132646719e+41,31128,189.21386281,62.29747679,322.599,322.599,1.1842,0.8711459999999999,0,0.332886,0.10827200000000001,1.3,0.25131,0.503,-20.751685000000002,-21.727018,1.53324,-1.0,2,1.6702,10.23,200.364,0.6806479999999999,318.969,-0.8853,,
GN3,28073,189.25705597,62.28104838600002,1.751822994300403,1.68673783630751,1.3856455654900102,-99.0,-99.0,-99.0,-99.0,5.4776087560079,1.27699412964577,3.4880951097877304,1.9162937511332097,5.610546778697209,1.91274051984053,10.570229944961,1.3967574731903298,13484.926126304696,-2.1538961849519485e+43,-2.1538961849519485e+43,3.0146835325298156e+41,3.669755748118031e+41,28073,189.25705887,62.28104975,21.9615,21.18,0.3752,0.0020472999999999997,0,0.35891999999999996,0.000379505,0.2,1.50742,1.6030799999999998,-21.350773999999998,-21.685094,1.74,1.74,1,1.7411,9.73,21.9615,1.5636700000000001,-20.4725,-1.8519999999999999,,
GN4,28073,189.25705597,62.28104838600002,1.751822994300403,1.68673783630751,1.3856455654900102,-99.0,-99.0,-99.0,-99.0,5.4776087560079,1.27699412964577,3.4880951097877304,1.9162937511332097,5.610546778697209,1.91274051984053,10.570229944961,1.3967574731903298,13484.926126304696,-2.1538961849519485e+43,-2.1538961849519485e+43,3.0146835325298156e+41,3.669755748118031e+41,28073,189.25705887,62.28104975,21.9615,21.18,0.3752,0.0020472999999999997,0,0.35891999999999996,0.000379505,0.2,1.50742,1.6030799999999998,-21.350773999999998,-21.685094,1.74,1.74,1,1.7411,9.73,21.9615,1.5636700000000001,-20.4725,-1.8519999999999999,,
GN4,26304,189.3115321102167,62.27133179001452,1.631704534045434,7.2949787539291515,1.2037463147869398,1.64544693394842,0.96911889188191,46.21411824213511,8.76060372839409,1.2373237362336298,1.09499145208236,1.4808037464342498,0.661270846579095,6.99393854563828,0.725390004703568,13.3555106455479,1.1302491704331499,12351.752522906492,1.7689951906832827e+41,3.0035403675052856e+41,2.1972757517147837e+41,1.3315995013550802e+42,26304,189.31152864,62.27133299,85.9801,85.9801,2.6519,0.806954,0,0.36963,0.06833489999999999,1.1,0.83762,1.43379,-21.019655,-21.923965,1.5219999999999998,1.5219999999999998,1,1.5877,10.54,80.0596,4.7563699999999995,78.5466,-1.1361,,
GN7,19341,189.08746705,62.236722111000006,1.868149721128366,0.284129634911172,0.22988604883771704,1.01969612945375,0.7677322388261469,-99.0,-99.0,0.407249263491089,0.22435757798426897,0.978387652503232,0.46573860993776395,1.1444211195307,0.6249361255167579,3.43358515452716,0.266174835711254,14597.528145208391,1.9573155650950433e+41,2.599691669713716e+41,5.860891582151681e+40,7.24381924831927e+40,19341,189.08746709,62.23672034,11.395,7.749,3.2161,3.3784199999999998,2,0.050052,0.0197405,0.3,0.37034,0.7331,-21.018663,-22.312876,1.87054,-1.0,2,1.6511,10.54,11.395,0.0544596,-20.6135,-1.5855,,
