,ID,LOG_X_FLUX,LOG_X_LUM,X_CLASS
3286,32562,-15.856985,42.029384,b'AGN'
3327,33169,-15.274905,42.056905,b'AGN'
3368,33579,-14.703335,43.631444,b'AGN'
3386,33724,-15.462181,41.544068,b'AGN'
3395,33777,-15.367543,43.103804,b'AGN'
3445,34358,-14.007005,43.941014,b'AGN'
3504,34904,-15.191114,,b'Star'
3545,35469,-15.227678,43.330414,b'AGN'
3613,9344,-15.91364,39.432969,b'Galaxy'
3640,11124,-15.527244,41.352183,b'Galaxy'
3642,11279,-15.49485,42.523746,b'AGN'
3649,11460,-14.467246,42.614897,b'AGN'
3719,13429,-15.129011,42.49276,b'AGN'
3725,13502,-16.002614,41.980003,b'AGN'
3738,13636,-16.043351,41.029384,b'Galaxy'
3750,13777,-15.580044,42.369216,b'AGN'
3762,13970,-15.163043,42.991669,b'AGN'
3774,14184,-15.673664,41.923244,b'AGN'
3780,14302,-15.694649,41.294466,b'AGN'
3781,14319,-16.099633,41.149219,b'AGN'
3791,14533,-15.793174,41.622214,b'Galaxy'
3807,14807,-16.298432,41.691081,b'Galaxy'
3809,14850,-15.931814,42.056905,b'AGN'
3812,14982,-16.005243,41.10721,b'Galaxy'
3829,15379,-15.860121,42.598791,b'AGN'
3835,15493,-15.625252,43.247973,b'AGN'
3844,15633,-15.542118,41.436163,b'Galaxy'
3860,15976,-15.089909,43.811575,b'AGN'
3876,16189,-16.191114,41.113943,b'AGN'
3916,16879,-15.752027,43.499687,b'AGN'
3935,17194,-15.201349,42.850033,b'AGN'
3945,17347,-15.412289,41.851258,b'AGN'
3959,17541,-14.69897,,b'Star'
3963,17596,-15.8041,41.285557,b'AGN'
3975,17829,-14.033389,43.607455,b'AGN'
3980,17940,-16.316953,43.041393,b'AGN'
4042,19341,-14.974694,43.287802,b'AGN'
4051,19464,-15.129011,43.283301,b'AGN'
4082,19913,-14.723538,43.920123,b'AGN'
4105,20329,-15.764472,41.752816,b'AGN'
4119,20538,-16.092589,41.25042,b'Galaxy'
4127,20685,-15.928118,42.303196,b'AGN'
4146,20963,-14.5157,44.326336,b'AGN'
4159,21251,-15.567031,42.045323,b'AGN'
4236,22823,-14.747147,44.257679,b'AGN'
4239,22904,-15.056011,43.697229,b'AGN'
4257,23499,-13.767004,44.908485,b'AGN'
4,37812,-14.950782,42.937518,b'AGN'
5,37939,-15.371611,43.025306,b'AGN'
53,39364,-15.645892,42.900913,b'AGN'
75,39868,-15.59176,41.557507,b'Galaxy'
123,40829,-13.856985,44.544068,b'AGN'
132,40985,-15.199283,42.352183,b'AGN'
135,41115,-14.055517,43.060698,b'AGN'
179,41796,-14.348722,43.517196,b'AGN'
184,41913,-14.747147,42.521138,b'AGN'
193,42037,-15.399027,41.564666,b'Galaxy'
215,42201,-15.537602,41.941014,b'Galaxy'
227,42402,-15.882729,42.468347,b'AGN'
235,42556,-14.906578,43.885926,b'AGN'
257,42832,-15.521434,41.985426,b'AGN'
265,42985,-15.120904,42.643453,b'AGN'
270,43114,-14.8041,43.546543,b'AGN'
277,43256,-15.338187,43.181844,b'AGN'
305,43683,-15.359519,43.178977,b'AGN'
339,44725,-15.151811,43.78533,b'AGN'
357,45188,-15.20412,43.485721,b'AGN'
381,45697,-15.368556,43.012837,b'AGN'
403,46340,-14.681937,44.158362,b'AGN'
409,43386,-14.946922,43.332438,b'AGN'
455,45789,-13.995679,43.824126,b'AGN'
585,48793,-14.330683,43.635484,b'AGN'
685,40891,-15.88941,41.593286,b'Galaxy'
704,41370,-15.79588,41.906335,b'Galaxy'
719,41748,-15.14691,43.466868,b'AGN'
735,41886,-15.319664,43.631444,b'AGN'
753,42113,-15.679854,42.619093,b'AGN'
778,42402,-15.882729,42.468347,b'AGN'
789,42504,-15.340084,42.089905,b'Galaxy'
794,42556,-14.906578,43.885926,b'AGN'
798,42607,-15.404504,43.578639,b'AGN'
816,42758,-15.869666,42.49693,b'AGN'
819,42778,-16.053548,42.220108,b'AGN'
833,42915,-14.548214,43.677607,b'AGN'
905,44066,-14.280669,43.929419,b'AGN'
914,44157,-15.774691,42.652246,b'AGN'
935,44523,-15.477556,42.214844,b'AGN'
956,44824,-15.440093,42.945961,b'AGN'
974,45068,-15.178486,43.895423,b'AGN'
996,45378,-14.714443,43.724276,b'AGN'
1010,45597,-14.522879,43.041393,b'AGN'
1026,45795,-13.970616,43.575188,b'AGN'
1030,45940,-15.716699,41.029384,b'Galaxy'
1034,45975,-15.759451,41.665581,b'Galaxy'
1084,46846,-15.270026,42.630428,b'AGN'
1110,47157,-12.954677,44.423246,b'AGN'
1154,48123,-14.605548,43.201397,b'AGN'
1170,48420,-15.826814,41.758912,b'AGN'
1289,33721,-15.17134,43.576341,b'AGN'
1337,35046,-15.785156,42.082785,b'AGN'
1341,35127,-16.091515,42.356026,b'AGN'
1342,35137,-16.101275,41.338456,b'Galaxy'
1418,36451,-15.170696,43.178977,b'AGN'
1420,36482,-16.295849,40.79379,b'Galaxy'
