FIELD,ID,RA_y,DEC_y,z_50_y,HeII-4687_FLUX,HeII-4687_FLUX_ERR,NeV-3426_FLUX,NeV-3426_FLUX_ERR,Ha_FLUX_y,Ha_FLUX_ERR_y,Hb_FLUX_y,Hb_FLUX_ERR_y,NeIII-3867_FLUX_y,NeIII-3867_FLUX_ERR_y,OII_FLUX_y,OII_FLUX_ERR_y,OIII_FLUX_y,OIII_FLUX_ERR_y,DL,NeV_L_ERR,NeV_L,HeII_L_ERR,HeII_L,id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,restUjohnson,restVjohnson
GN2,20801,189.1476214,62.24377994100001,1.999766095357096,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.63697711758667,0.48025541963525203,2.57748136959462,0.837300607701738,11.304323367513401,0.941712746458528,22.097081896334,0.5609598848643159,15872.90977184183,-2.9842879057030216e+43,-2.9842879057030216e+43,-2.9842879057030216e+43,-2.9842879057030216e+43,20801,189.14760357,62.24377087,22.8898,35.28,0.5964,0.0942632,0,0.29736,0.0113238,0.1,0.74084,1.07162,-21.223335,-21.637226,2.00266,-1.0,2,2.0232,9.6,22.8898,3.11108,-25.542,-1.3737,,
GN7,20801,189.1476214,62.24377994100001,1.999766095357096,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.63697711758667,0.48025541963525203,2.57748136959462,0.837300607701738,11.304323367513401,0.941712746458528,22.097081896334,0.5609598848643159,15872.90977184183,-2.9842879057030216e+43,-2.9842879057030216e+43,-2.9842879057030216e+43,-2.9842879057030216e+43,20801,189.14760357,62.24377087,22.8898,35.28,0.5964,0.0942632,0,0.29736,0.0113238,0.1,0.74084,1.07162,-21.223335,-21.637226,2.00266,-1.0,2,2.0232,9.6,22.8898,3.11108,-25.542,-1.3737,,
GN2,11502,189.26094304,62.19919875099998,1.991615710773547,0.21400333743476901,0.9426351470596199,1.9815715081947698,1.42781070132196,-99.0,-99.0,2.53627126399728,0.881124717455418,3.08738512788138,1.34454013137625,7.626524605576909,1.04177224436376,11.795138603283402,1.0460217598183101,15793.44818323183,4.2610534459748536e+41,5.9136565481833795e+41,2.8131311370313723e+41,6.386558509347663e+40,11502,189.26094297,62.19919674,15.3729,16.49,1.8393,0.0982781,0,0.255228,0.00649476,0.2,0.69838,0.77228,-20.756107,-21.008899,1.986,1.986,1,1.9626,9.49,15.3729,1.13715,-24.8012,-1.6751,,
GN2,20177,189.16946393,62.24135491600001,1.393534841633599,3.8681711859458603,0.393339552054285,11.5053981785291,1.8155983077536801,-99.0,-99.0,7.02323882420249,0.564119557996561,1.73293227146337,1.25120325138523,3.4323226224798904,0.876857814707661,8.65733107606152,0.5505861344077541,10158.123301863105,2.241502144296149e+41,1.4204339461001962e+42,4.85609314351587e+40,4.775568456290134e+41,20177,53.2200264,-27.8174011,0.0892273,0.08794,1.8947,1.42481,1,0.69174,0.307053,0.2,0.0384302,0.097398,,,0.7888,-1.0,3,0.7888,7.64,0.0892273,0.00377758,-2.95951,-2.1108,-15.957566,-16.528747
GN2,17886,189.1781809,62.23062061700002,1.774730154335695,0.0383562483221475,0.52661027507077,0.356946610531926,0.8745130617632151,-99.0,-99.0,0.703122725698456,0.5076045415450381,1.12105206604997,0.663718294851815,2.3611358257485997,0.6869692923616519,4.61210453010256,0.584127180759082,13702.878694984483,1.9646371678974953e+41,8.018983462546964e+40,1.1830562225277412e+41,8.616922304495034e+39,17886,189.17818269,62.23061871,10.7197,7.17,0.7582,0.288293,0,0.154074,0.0126481,0.5,0.26834,0.35433,-19.939192,-20.558111,1.7593,-1.0,3,1.7593,9.42,10.7197,0.42725,-20.1868,-1.5142,,
GN2,24570,189.2207019299999,62.26270366499957,2.426192409053029,-99.0,-99.0,0.268385795449721,1.12841853632627,-99.0,-99.0,1.1862860367402999,0.895033144985913,1.4305589996120602,0.864402451441562,3.83720659734867,0.953470633071844,14.7935942861073,4.7407640443598495,20109.68538123929,5.4597554803629696e+41,1.2985614560433875e+41,-4.790029365484028e+43,-4.790029365484028e+43,24570,189.22071238,62.26270251,0.0,11.08,0.4904,0.250991,0,0.322224,0.0327781,0.0,0.57084,0.62293,-20.849589,-21.035487,2.164,2.426,3,2.164,9.4,0.0,0.0,0.0,-2.049,,
GN2,19911,189.22022547,62.239819602,1.878074665165565,-99.0,-99.0,0.504316655499425,0.456010910759074,-99.0,-99.0,1.37071593173995,0.6277031465337011,0.62790773886431,0.416370158053308,2.6724962195857,0.370614561503885,15.597166169396699,0.700790488671873,14693.107606150028,1.1778635476977885e+41,1.302635947944401e+41,-2.5571425698559496e+43,-2.5571425698559496e+43,19911,189.22024247,62.23981674,4.13738,4.004,1.52,0.981555,0,0.157194,0.0339217,0.0,0.31764,0.32108,-19.257809,-19.668701,1.5072,-1.0,3,1.5072,9.04,4.13738,0.199336,-21.3269,-1.9691,,
GN2,21290,189.26806046,62.246179592,2.216478606252471,1.52284133524926,0.7896820069109739,8.83993386311316,1.0355134016921699,-99.0,-99.0,5.90104266246208,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.8063518831534,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.063726204476052e+41,5.908161593187268e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.0251377,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.53406,258.49,-0.6099,,
GN2,21290,189.26806046,62.246179592,2.216478606252471,1.52284133524926,0.7896820069109739,8.83993386311316,1.0355134016921699,-99.0,-99.0,5.90104266246208,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.8063518831534,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.063726204476052e+41,5.908161593187268e+41,21290,53.0426259,-27.8113896,0.00475576,0.01513,0.9194,0.280575,0,0.175356,0.0168516,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.000888399,-0.094367,-0.7508,-12.64009,-13.830387
GN4,21290,189.26806046,62.246179592,2.216478606252471,1.52284133524926,0.7896820069109739,8.83993386311316,1.0355134016921699,-99.0,-99.0,5.90104266246208,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.8063518831534,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.063726204476052e+41,5.908161593187268e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.0251377,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.53406,258.49,-0.6099,,
GN4,21290,189.26806046,62.246179592,2.216478606252471,1.52284133524926,0.7896820069109739,8.83993386311316,1.0355134016921699,-99.0,-99.0,5.90104266246208,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.8063518831534,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.063726204476052e+41,5.908161593187268e+41,21290,53.0426259,-27.8113896,0.00475576,0.01513,0.9194,0.280575,0,0.175356,0.0168516,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.000888399,-0.094367,-0.7508,-12.64009,-13.830387
GN2,21534,189.18347312,62.247397339,1.777281839014459,2.14960886786881,0.942854882647144,0.32397619739631,0.641399305533162,-99.0,-99.0,2.02573236938413,0.874864306176957,1.5876097541724001,0.575690031802193,4.7647299991389,0.536334892953355,1.32472302491099,0.953506026368762,13727.192380370243,1.4460534797489685e+41,7.304138055019312e+40,2.1256938886406632e+41,4.846356016704821e+41,21534,189.18347507,62.24739797,438.643,438.643,0.5863,0.500219,0,0.286698,0.0652019,1.4,0.2804,0.75311,-21.608322,-22.489346,2.095,2.095,1,1.7914,10.77,790.086,7.89215,429.636,-0.3037,,
GN2,21534,189.18347312,62.247397339,1.777281839014459,2.14960886786881,0.942854882647144,0.32397619739631,0.641399305533162,-99.0,-99.0,2.02573236938413,0.874864306176957,1.5876097541724001,0.575690031802193,4.7647299991389,0.536334892953355,1.32472302491099,0.953506026368762,13727.192380370243,1.4460534797489685e+41,7.304138055019312e+40,2.1256938886406632e+41,4.846356016704821e+41,21534,53.1882455,-27.80996,0.623976,1.39,1.3169,0.864943,2,0.182856,0.0822648,0.0,0.0375851,0.0380233,,,1.2176,-1.0,3,1.2176,7.79,0.623976,0.0861442,-20.4725,-1.0202,-17.20456,-17.69049
GN2,25303,189.2010320900087,62.26568191699707,2.442471517146416,-99.0,-99.0,4.277868160824,0.7764313176283439,-99.0,-99.0,3.2944996015259,0.8325251117418869,2.35048977978143,0.747349512677743,10.2446055895701,0.625369102417072,28.5653773510626,4.61015863361637,20274.25330690928,3.818433312544236e+41,2.1038247583647436e+42,-4.86874871426592e+43,-4.86874871426592e+43,25303,189.20104105,62.26567832,73.5854,73.5854,0.9511,0.167445,0,0.139566,0.00657208,0.3,0.7393,1.23805,-21.800454,-22.241044,2.44,2.44,1,2.4211,9.9,93.8996,4.65236,53.593,-1.5807,,
GN2,25303,189.2010320900087,62.26568191699707,2.442471517146416,-99.0,-99.0,4.277868160824,0.7764313176283439,-99.0,-99.0,3.2944996015259,0.8325251117418869,2.35048977978143,0.747349512677743,10.2446055895701,0.625369102417072,28.5653773510626,4.61015863361637,20274.25330690928,3.818433312544236e+41,2.1038247583647436e+42,-4.86874871426592e+43,-4.86874871426592e+43,25303,53.1480072,-27.7921602,0.141403,0.1388,1.9289,1.02966,2,0.146172,0.0559689,0.0,0.0240549,0.0167364,,,1.0185,-1.0,3,1.0185,6.04,0.141403,0.00372704,-20.1367,-2.3779,-16.356148,-16.49119
GN2,24089,189.2624384966491,62.26016354542583,1.813706968694783,-99.0,-99.0,1.0578850024886801,1.1926909694505001,-99.0,-99.0,0.731948501585376,0.659414832436663,1.43890270182027,0.9128434992745871,4.47364405597222,1.03413625814438,3.34791821296821,0.7870504153903549,14075.031294239854,2.826956321692651e+41,2.5074346767185262e+41,-2.346531356538353e+43,-2.346531356538353e+43,24089,189.26244242,62.2601603,12.2071,14.56,0.9063,3.58971,0,0.175674,0.1571,1.0,0.20745,0.36408,-20.304773,-21.066727,1.81933,-1.0,2,1.7025,9.89,12.2071,1.07535,-20.2918,-1.0577,,
GN2,24089,189.2624384966491,62.26016354542583,1.813706968694783,-99.0,-99.0,1.0578850024886801,1.1926909694505001,-99.0,-99.0,0.731948501585376,0.659414832436663,1.43890270182027,0.9128434992745871,4.47364405597222,1.03413625814438,3.34791821296821,0.7870504153903549,14075.031294239854,2.826956321692651e+41,2.5074346767185262e+41,-2.346531356538353e+43,-2.346531356538353e+43,24089,53.1260963,-27.797333,1.51794,1.851,8.0,12.3416,2,0.121332,0.135935,0.0,0.0352498,0.0532804,,,0.3381,-1.0,3,0.3381,5.85,1.51794,0.080571,-87.2862,-1.6247,-18.428507,-18.568351
GN4,24089,189.2624384966491,62.26016354542583,1.813706968694783,-99.0,-99.0,1.0578850024886801,1.1926909694505001,-99.0,-99.0,0.731948501585376,0.659414832436663,1.43890270182027,0.9128434992745871,4.47364405597222,1.03413625814438,3.34791821296821,0.7870504153903549,14075.031294239854,2.826956321692651e+41,2.5074346767185262e+41,-2.346531356538353e+43,-2.346531356538353e+43,24089,189.26244242,62.2601603,12.2071,14.56,0.9063,3.58971,0,0.175674,0.1571,1.0,0.20745,0.36408,-20.304773,-21.066727,1.81933,-1.0,2,1.7025,9.89,12.2071,1.07535,-20.2918,-1.0577,,
