FIELD,ID,RA_y,DEC_y,z_50_y,HeII-4687_FLUX,HeII-4687_FLUX_ERR,NeV-3426_FLUX,NeV-3426_FLUX_ERR,Ha_FLUX_y,Ha_FLUX_ERR_y,Hb_FLUX_y,Hb_FLUX_ERR_y,NeIII-3867_FLUX_y,NeIII-3867_FLUX_ERR_y,OII_FLUX_y,OII_FLUX_ERR_y,OIII_FLUX_y,OIII_FLUX_ERR_y,DL,NeV_L_ERR,NeV_L,HeII_L_ERR,HeII_L,id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,restUjohnson,restVjohnson,LOG_X_FLUX,LOG_X_LUM,X_CLASS
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,,-16.12436,42.640481,b'AGN'
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,,-16.12436,42.640481,b'AGN'
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387,-16.12436,42.640481,b'AGN'
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387,-16.12436,42.640481,b'AGN'
GN2,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN2,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN2,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN3,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN3,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN3,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN4,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN4,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN4,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
GN2,11785,189.23250176,62.20029981799999,1.9193609362085717,0.261696245246934,1.7891158615635299,2.42227807901753,2.71727023178576,-99.0,-99.0,2.0614097260287196,1.7777826580283302,3.3334145916993703,1.9258838396598799,9.63238461266368,2.18535529920095,3.44672679278026,1.81628169757227,15091.76343694854,7.404661985678991e+41,6.600797447612414e+41,4.87540696288734e+41,7.131319573252074e+40,11785,53.095267500000006,-27.8549325,2.16765,3.177,2.2333,0.8997639999999999,0,0.077466,0.021618599999999998,0.0,0.049911199999999996,0.08652,,,1.0867,-1.0,3,1.0867,8.08,2.16765,0.513971,-20.5366,-1.0728,-17.879251999999997,-18.091815,-15.493495,43.264818,b'AGN'
GN4,26304,189.3115321102167,62.27133179001452,1.631704534045434,7.2949787539291515,1.2037463147869398,1.64544693394842,0.96911889188191,46.21411824213511,8.76060372839409,1.2373237362336298,1.09499145208236,1.4808037464342498,0.661270846579095,6.99393854563828,0.725390004703568,13.3555106455479,1.1302491704331499,12351.752522906492,1.7689951906832827e+41,3.0035403675052856e+41,2.1972757517147837e+41,1.3315995013550802e+42,26304,189.31152864,62.27133299,85.9801,85.9801,2.6519,0.806954,0,0.36963,0.06833489999999999,1.1,0.83762,1.43379,-21.019655,-21.923965,1.5219999999999998,1.5219999999999998,1,1.5877,10.54,80.0596,4.7563699999999995,78.5466,-1.1361,,,-14.543634,43.643453,b'AGN'
GN7,19341,189.08746705,62.236722111000006,1.868149721128366,0.284129634911172,0.22988604883771704,1.01969612945375,0.7677322388261469,-99.0,-99.0,0.407249263491089,0.22435757798426897,0.978387652503232,0.46573860993776395,1.1444211195307,0.6249361255167579,3.43358515452716,0.266174835711254,14597.528145208391,1.9573155650950433e+41,2.599691669713716e+41,5.860891582151681e+40,7.24381924831927e+40,19341,189.08746709,62.23672034,11.395,7.749,3.2161,3.3784199999999998,2,0.050052,0.0197405,0.3,0.37034,0.7331,-21.018663,-22.312876,1.87054,-1.0,2,1.6511,10.54,11.395,0.0544596,-20.6135,-1.5855,,,-14.974694,43.287802,b'AGN'
GN7,19464,189.08706093,62.237621084,2.087625181329412,1.5029636507913302,0.513339733792971,4.57016069800563,1.3519956512459401,-99.0,-99.0,1.23150188055167,0.4928946562564871,3.83036612899589,0.9400759758961772,4.712521389420361,0.8327263338709949,8.740661964195,0.543126253197519,16733.348188310243,4.529324325864217e+41,1.5310507843356978e+42,1.7197408449934525e+41,5.035082633694461e+41,19464,189.08706393,62.23762076,102.014,102.014,2.4157,1.19208,0,0.4059,0.133026,0.8,0.30903,0.75754,-21.338376,-22.657364,2.08793,-1.0,2,1.4984,10.97,251.657,11.4097,92.1504,-0.3037,,,-15.129011,43.283301,b'AGN'
GS4,26550,53.149287326999534,-27.78852181900022,1.90938439107909,-99.0,-99.0,1.0540131783556301,0.46753660087077603,-99.0,-99.0,2.96500009158872,0.43628252073264207,0.8316006320873821,0.49622687728915793,9.66235846344186,0.40353377312977495,9.90354113828655,0.4797066256826761,14995.275876527288,1.257815564553517e+41,2.8356158181221488e+41,-2.663400911476784e+43,-2.663400911476784e+43,26550,189.38452677,62.27204534,0.867433,1.4340000000000002,1.2074,1.57217,0,0.106656,0.0510218,0.2,0.06105,0.07536,-17.643155,-18.449244,1.5104,-1.0,3,1.5104,9.44,0.867433,0.119591,-18.8437,-1.2985,,,-16.449772,41.965672,b'Galaxy'
GS4,28022,53.181719311011804,-27.78299198100316,1.5714280996773808,0.357585084598198,0.9595867042879801,0.47660145968717,0.88139445532431,22.625646129688807,8.7490824809089,1.116199996374,0.919002891757669,1.03151426296948,0.7143819140188159,5.4737615627370495,0.620618935840643,7.3638636150510886,0.895192758524576,11789.580484216167,1.4657484598403546e+41,7.9258253926397985e+40,1.5957812366494416e+41,5.946597279408088e+40,28022,189.37905853,62.27954801,0.8625200000000001,0.9747,1.575,1.90642,2,0.020334,0.0148727,0.0,0.03592,0.04584,-17.751473999999998,-18.431762,2.1789,-1.0,3,2.1789,8.22,0.8625200000000001,0.0626072,-34.3602,-1.8226,,,-16.20621,42.053078,b'Galaxy'
